defId,name,rating,positions,nation,league,club,cardType,isWomens,promoName
s0001,P. Rentinez,88,CM,Eiretown,Premier Division,Comberton,rare,no,
s0002,H. Bernardo,88,CDM|CM,Danmarken,Ligue Premiere,Fontenay,rare,yes,
s0003,K. Luninho,88,CB,Norvegia,Serie Prima,Cerveto,rare,yes,
s0004,E. Rasescu,88,CM|CAM,Turkia,Eredivisie Noord,Broekhof,rare,no,
s0005,F. Cavinho,87,CM,Eiretown,Saudi Elite,Al Rakan,rare,yes,
s0006,L. Nurstad,87,CDM|CM,Albion,Serie Prima,Doriano,rare,no,
s0007,A. Rensson,87,CDM|CM,Albion,Premier Division,Comberton,totw,no,
s0008,M. Fennardo,87,ST|CF,Batavia,Ligue Premiere,Fontenay,rare,no,
s0009,V. Valnardo,87,ST,Caledonia,Liga Sul,Diamantina,totw,no,
s0010,E. Kalley,87,ST,Koria,Liga Sul,Estrela,rare,no,
s0011,G. Berridge,87,GK,Norvegia,Premier Division,Denholm Rovers,rare,no,
s0012,P. Lungaard,87,LM|LW,Norvegia,Ligue Premiere,Estrelle,rare,no,
s0013,P. Sornardo,86,LM|LW,Koria,Liga Primera,Alcazar,rare,no,
s0014,F. Marley,86,CAM|CF,Hispania,Bundesklasse,Adlerberg,rare,no,
s0015,H. Rasescu,86,CAM|CF,Danmarken,Serie Prima,Fiorente,totw,no,
s0016,T. Luntinez,86,CM,Turkia,Saudi Elite,Al Bahri,rare,no,
s0017,T. Valsson,86,RB|RM,Senegalia,Ligue Premiere,Aubertin,rare,no,
s0018,M. Tamtinez,86,RM|RW,Rioverde,Saudi Elite,Al Bahri,rare,no,
s0019,C. Rasaoui,86,ST|CF,Quebeca,Ligue Premiere,Beaufort,rare,no,
s0020,L. Marmann,86,ST,Batavia,Liga Sul,Estrela,rare,no,
s0021,J. Dalmann,86,LM|LW,Germania,Bundesklasse,Brandhof,rare,no,
s0022,L. Vorstad,86,GK,Japonia,Saudi Elite,Al Qamar,rare,no,
s0023,C. Nurescu,86,RM|RW,Rioverde,Saudi Elite,Al Rakan,rare,no,
s0024,G. Fenzaki,86,CB|LB,Turkia,Bundesklasse,Eichwald,rare,yes,
s0025,V. Sorridge,86,CM|CAM,Italica,Ligue Premiere,Aubertin,rare,no,
s0026,A. Kalstad,86,LM|LW,Batavia,Liga Primera,Elvira CF,rare,no,
s0027,N. Fenstad,86,RM|RW,Batavia,Serie Prima,Fiorente,rare,no,
s0028,F. Vorkova,86,LW|ST,Polonia,Premier Division,Denholm Rovers,rare,no,
s0029,C. Tamridge,86,ST,Albion,Ligue Premiere,Estrelle,rare,no,
s0030,A. Tamaoui,86,LW|ST,Albion,Bundesklasse,Adlerberg,rare,no,
