defId,quantity,pool,untradeable,isLoan,isEvolved,locked,inActiveSquad,estimatedPrice,positionOverride,squadName,favourite,observed
s0001,1,club,no,no,no,no,yes,14000,,Starting XI,,isLoan|inActiveSquad
s0002,1,club,yes,no,no,no,yes,14000,,Starting XI,,untradeable|isLoan|inActiveSquad
s0003,1,club,no,no,no,no,no,14000,,,,untradeable|isLoan|inActiveSquad
s0004,1,club,no,no,no,no,no,14000,,,,untradeable|isLoan|inActiveSquad
s0005,1,club,no,no,no,no,no,7500,,,,untradeable|isLoan|inActiveSquad
s0006,1,club,no,no,no,no,no,7500,,,,isLoan|inActiveSquad
s0007,1,club,no,no,no,no,no,7500,,,,untradeable|isLoan|inActiveSquad
s0008,1,club,yes,no,no,no,no,7500,,,,untradeable|isLoan|inActiveSquad
s0009,1,club,no,no,no,no,no,7500,,,,untradeable|isLoan|inActiveSquad
s0010,1,club,no,no,no,no,yes,7500,,Starting XI,,untradeable|isLoan|inActiveSquad
s0011,1,club,no,no,no,no,no,7500,,,,isLoan|inActiveSquad
s0012,1,club,yes,no,no,no,no,7500,,,,untradeable|isLoan|inActiveSquad
s0013,1,club,no,no,no,no,no,4200,,,,untradeable|isLoan|inActiveSquad
s0014,1,club,no,no,no,no,no,4200,,,,untradeable|isLoan|inActiveSquad
s0015,1,club,yes,no,no,no,no,4200,,,,untradeable|isLoan|inActiveSquad
s0016,2,club,no,no,no,no,no,4200,,,,isLoan|inActiveSquad
s0017,2,club,no,no,no,no,no,4200,,,,untradeable|isLoan|inActiveSquad
s0018,2,club,no,no,no,no,no,4200,,,,untradeable|isLoan|inActiveSquad
s0019,2,club,no,no,no,no,no,4200,,,,untradeable|isLoan|inActiveSquad
s0020,2,club,yes,no,no,no,no,4200,,,,untradeable|isLoan|inActiveSquad
s0021,2,club,no,no,no,no,no,4200,,,,isLoan|inActiveSquad
s0022,2,club,no,no,no,no,no,4200,,,,untradeable|isLoan|inActiveSquad
s0023,2,club,no,no,no,no,no,4200,,,,untradeable|isLoan|inActiveSquad
s0024,1,club,no,no,no,no,yes,4200,,Starting XI,,untradeable|isLoan|inActiveSquad
s0025,2,club,no,no,no,no,no,4200,,,,untradeable|isLoan|inActiveSquad
s0026,2,club,no,no,no,no,no,4200,,,,isLoan|inActiveSquad
